id,platform,username,post_date,content,likes,comments,shares
1,Twitter,fosterkayla,2023-10-10 07:45:03,Scene six education society.,17,15,14
2,Facebook,xnorris,2023-10-25 07:45:03,Practice people than help tend likely.,177,4,29
3,Facebook,michelleking,2023-03-25 03:45:03,Daughter yes word risk shoulder evening nation.,279,39,24
4,Instagram,penaveronica,2022-12-10 17:45:03,All prove lot bit teacher election speak.,45,18,13
5,Instagram,smithmeghan,2022-12-10 01:45:03,Those lawyer each sit sure organization stop.,12,6,9
6,Instagram,jenniferkelly,2023-11-13 21:45:03,Tree entire tax.,203,43,2
7,Twitter,xwright,2023-05-25 02:45:03,Choice similar draw area.,282,40,14
8,Facebook,brettsimpson,2023-04-24 15:45:03,Fight three customer identify.,72,6,28
9,Twitter,williamsdaniel,2023-09-10 02:45:03,If entire pay there government effect.,277,49,12
10,Facebook,jeffreymccarthy,2023-06-14 07:45:03,Recent political miss financial star concern.,105,45,30
11,Instagram,joshuabailey,2023-08-16 22:45:03,Different including work long better author.,243,37,13
12,Instagram,williamvasquez,2023-07-15 10:45:03,East Democrat few real.,243,21,8
13,Twitter,ibruce,2023-10-29 03:45:03,Compare raise safe cold compare.,139,26,3
14,Instagram,rogerscharles,2023-01-20 04:45:03,Here majority test weight important everyone.,56,11,3
15,Instagram,kathryn74,2023-07-28 19:45:03,Various beautiful personal case heart almost.,25,49,9
16,Twitter,randysnyder,2023-01-15 07:45:03,Matter study they win television.,265,8,4
17,Instagram,smithcatherine,2023-06-15 06:45:03,Instead type before.,23,1,29
18,Facebook,njohnson,2023-09-13 16:45:03,Middle hospital approach service certainly.,96,43,20
19,Instagram,xwalker,2023-06-27 00:45:03,End within law include standard list.,136,45,2
20,Instagram,shieldsjoseph,2023-10-30 04:45:03,Detail company blood show value strategy girl.,192,12,30
21,Twitter,laramarie,2023-10-20 08:45:03,Learn just seven produce ground score land.,47,36,29
22,Facebook,ameyers,2023-09-09 17:45:03,Chair easy threat all old final.,156,46,19
23,Facebook,kristenrodriguez,2023-11-25 23:45:03,Even either still finally focus allow deal.,16,6,13
24,Facebook,ashleysmith,2023-11-05 12:45:03,Possible able field government pass field than scene.,17,16,26
25,Instagram,shawnbentley,2023-04-29 22:45:03,Country lead continue fire.,79,3,23
26,Instagram,sarah47,2023-07-19 16:45:03,Find respond up play.,247,7,11
27,Facebook,heather99,2023-09-03 14:45:03,Job make subject learn wind begin between parent.,260,24,7
28,Facebook,ashley01,2023-07-08 17:45:03,Least effort partner strategy.,288,45,20
29,Twitter,jefferypowell,2023-06-07 10:45:03,Activity though event peace ever no history.,260,13,10
30,Twitter,curryanne,2023-07-13 19:45:03,Film development available.,20,36,22
31,Instagram,james79,2023-03-27 11:45:03,Bill against peace place case.,129,29,16
32,Facebook,smccoy,2023-09-19 06:45:03,Large article radio wish blood hospital area.,34,6,23
33,Twitter,marc23,2023-01-08 22:45:03,Feeling feeling eat sound.,19,46,29
34,Instagram,leejennifer,2023-02-08 03:45:03,Rich cover watch parent say free watch development.,178,35,24
35,Facebook,ggutierrez,2023-11-27 23:45:03,Possible mean here same raise speech.,181,20,9
36,Facebook,sara51,2023-01-02 18:45:03,Work challenge environmental full statement author.,256,29,11
37,Facebook,tracyshort,2023-08-14 11:45:03,Reveal recent card might job suddenly speech any.,255,37,15
38,Twitter,rwood,2023-07-02 07:45:03,Indicate instead thus important so.,292,49,15
39,Twitter,orrwesley,2023-10-20 20:45:03,Environmental them move range wait world cost hotel.,105,22,3
40,Facebook,hicksmarcus,2023-11-20 15:45:03,Art interesting wind approach involve father environmental.,257,50,16
41,Instagram,micheal77,2023-05-15 03:45:03,Enjoy record camera keep see century.,48,36,30
42,Instagram,pattoneric,2023-10-31 10:45:03,Late body best government idea during.,170,19,10
43,Instagram,clarkcynthia,2023-07-29 10:45:03,Institution month safe right well general successful heavy.,79,40,28
44,Twitter,russomichelle,2023-05-30 08:45:03,Sometimes thing ready.,249,29,5
45,Instagram,ioneill,2023-12-03 00:45:03,Determine sort huge fly throw measure both.,202,40,17
46,Instagram,christinadeleon,2023-06-08 20:45:03,Suffer move child late strong.,117,48,8
47,Instagram,hortonvanessa,2023-02-10 05:45:03,Thus already economy political ok order.,265,43,22
48,Facebook,kbaldwin,2023-05-16 13:45:03,Out material better similar position.,87,6,18
49,Facebook,ugarcia,2023-03-06 19:45:03,Official environment must move.,277,11,8
50,Twitter,pamela51,2023-06-05 03:45:03,Nothing lot sign others recent since.,163,33,4
